year,population,production_t,production_kgpercapita,producing_or_slaughtered_animals
2011,198185300,9030000,45.563422,39100000
2012,199977710,9307000,46.540186,40205000
2013,201721780,9675000,47.9621,41590000
2014,203459650,9723000,47.788344,40385000
2015,205188210,9425000,45.93344,38365000
2016,206859580,9284000,44.880684,37595000
2017,208504960,9550000,45.80227,30866664
2018,210166600,9900000,47.105487,32042688
2019,211782880,10200000,48.162535,32445850
2020,213196300,9975000,46.787865,29887036
