year,population,production_kg,production_kgpercapita,landuse_ha,animalfeed_kg,animalfeed_kgpercapita
2011,198185300,55660236000,280.8495,13218892,35612000000,179.69042
2012,199977710,71072810000,355.40363,14198496,41016000000,205.10286
2013,201721780,80273170000,397.94,15279652,35287000000,174.92905
2014,203459650,79881620000,392.6165,15432909,40707000000,200.07408
2015,205188210,85283070000,415.6334,15407143,47806000000,232.9861
2016,206859580,64188310000,310.29895,14970502,33279000000,160.87724
2017,208504960,97910660000,469.58432,17427206,45949000000,220.37366
2018,210166600,82366530000,391.91067,16126368,49363000000,234.87557
2019,211782880,1.01126E+11,477.50038,17515920,47168000000,222.71867
2020,213196300,1.03964E+11,487.64268,18253766,53766000000,252.1901
