year,population,production_t,production_kgpercapita,producing_or_slaughtered_animals
2011,198185300,3227000,16.282741,34862000
2012,199977710,3149726,15.750386,36005796
2013,201721780,3117087,15.452407,36286096
2014,203459650,3192918,15.693128,37130096
2015,205188210,3430734,16.719937,39263964
2016,206859580,3711235,17.940843,42319790
2017,208504960,3824682,18.343363,43185384
2018,210166600,3950758,18.798223,44337204
2019,211782880,4125727,19.48093,46356360
2020,213196300,4482047,21.023102,49356210
