year,population,production_t,production_kgpercapita,producing_or_slaughtered_animals,producing_or_slaughtered_animals_percapita
2011,198185300,11918530,60.138315,5370102000,27.096369
2012,199977710,12052902,60.271226,5329378000,26.64986
2013,201721780,12492283,61.928283,5481104000,27.171602
2014,203459650,12982407,63.80826,5576010000,27.405975
2015,205188210,13636816,66.460036,5875498000,28.634676
2016,206859580,13770902,66.57126,5943925000,28.734104
2017,208504960,14161185,67.917734,5928984000,28.435698
2018,210166600,14067233,66.93373,5782190000,27.512413
2019,211782880,14074763,66.458456,5891211000,27.81722
2020,213196300,14356310,67.33846,6094886000,28.58814
