year,population,production_t,production_kgpercapita,producing_or_slaughtered_animals,producing_or_slaughtered_animals_percapita
2011,198185300,3227000,16.282741,34862000,0.17590609
2012,199977710,3149726,15.750386,36005796,0.18004905
2013,201721780,3117087,15.452407,36286096,0.1798819
2014,203459650,3192918,15.693128,37130096,0.18249366
2015,205188210,3430734,16.719937,39263964,0.19135585
2016,206859580,3711235,17.940843,42319790,0.20458221
2017,208504960,3824682,18.343363,43185384,0.20711921
2018,210166600,3950758,18.798223,44337204,0.21096219
2019,211782880,4125727,19.48093,46356360,0.21888624
2020,213196300,4482047,21.023102,49356210,0.23150593
