Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,2010,28189672,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
,Afghanistan,2011,29249156,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
,Afghanistan,2012,30466484,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
,Afghanistan,2013,31541216,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
,Afghanistan,2014,32716214,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0
,Afghanistan,2015,33753500,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.010195683,0.027933377802858,0.09176116,0.010195683,0
,Afghanistan,2016,34636212,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0.020431217,0,0
,Afghanistan,2017,35643420,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0.010183086,0,0
,Afghanistan,2018,36686788,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0
,Afghanistan,2019,37769496,,,,,,,,,,,3000,0.00007942918,0.07942918,,,,3000,0.00007942918,0.07942918,0,0,0,3000,0.00007942918,0.07942918,,,,,,,0,0,0,0,0
,Afghanistan,2020,38972236,,,,,,,,,,,11000,0.0002822522,0.2822522,0,0,0,11000,0.0002822522,0.2822522,0,0,0,11000,0.0002822522,0.2822522,,,,,,,0,0,0,0,0
,Africa,1961,291178000,71813,0.0005484135,0.5484135,0.37584457,,191071,0.0014591496,14.591496000000001,,,12000,0.00005305601,0.05305601,16000,0.00007678544,0.07678544,66000,0.0002645559,0.2645559,32000,0.00012826953,0.12826953,6000,0.00007341208,0.07341208,,,,6000,0.00004264773,0.042647729999999995,0.13195495,0.3615204073437,1.4220043,0.1291944,0.07451776
,Africa,1962,298334460,84594,0.0006300213,0.6300213,0.39347145,,214994,0.0016011869,16.011869,,,15000,0.00006475089,0.06475088999999999,16000,0.000074896234,0.07489623399999999,82000,0.0003208756,0.32087560000000004,44000,0.00017217716,0.17217716000000002,7000,0.00008378743,0.08378743000000001,,,,7000,0.000048518763,0.048518763,0.16876073,0.46235815975998,1.8145826,0.16415219,0.09477321
,Africa,1963,305755600,87260,0.0006336422,0.6336421999999999,0.39485055,,220995,0.0016047645,16.047645,,,3000,0.000012639654,0.012639654,31000,0.00014149315,0.14149314999999998,56000,0.00021385103,0.21385103,31000,0.000118381824,0.11838182400000001,7000,0.00008193284,0.08193284,,,,7000,0.000047302055,0.047302055,0.118175834,0.323769404981484,1.257851,0.1159677,0.06766387
,Africa,1964,313466080,76781,0.0005561982,0.5561982,0.36923707,,207945,0.0015063444,15.063444,,,11000,0.00004522297,0.04522297,9000,0.000040044262,0.040044262000000004,75000,0.0002794264,0.2794264,43000,0.00016020448,0.16020448,6000,0.00006864642,0.06864642,,,,6000,0.00003951908,0.03951908,0.16129468,0.44190322845768,1.724922,0.15698634,0.09072407
,Africa,1965,321447400,73067,0.00051559915,0.51559915,0.34799775,,209964,0.0014816163,14.816163,,,9000,0.000036095134,0.036095134,16000,0.00006937,0.06937,63000,0.00022893245,0.22893244999999998,34000,0.00012355085,0.12355085000000002,6000,0.00006709275,0.06709274999999999,,,,6000,0.000038502898,0.038502898,0.121703185,0.33343338022731,1.3019786,0.12128568,0.06906768
,Africa,1966,329658400,77180,0.000530561,0.5305610000000001,0.37456927,,206050,0.0014164564,14.164564,,,0,0,0,12000,0.000050690807,0.050690807,62000,0.00021970441,0.21970441,41000,0.00014528839,0.14528839,6000,0.00006555154,0.06555153999999999,,,,6000,0.000037510723,0.037510723,0.14481659,0.39675777685434,1.5467657,0.14369011,0.08326531
,Africa,1967,338159970,80884,0.0005416683,0.5416683,0.41887105,,193100,0.0012931625,12.931625,,,1000,0.0000038136998,0.0038136998,8000,0.000032923377,0.032923377000000004,70000,0.00024184321,0.24184321,48000,0.00016583534,0.16583534,6000,0.00006403346,0.06403346,,,,6000,0.000036544086,0.036544086,0.16362464,0.44828668044864,1.7594963,0.16048191,0.09307433
,Africa,1968,346980400,90459,0.00058993866,0.58993866,0.41629583,,217295,0.001417114,14.17114,,,1000,0.0000037179288,0.0037179288,15000,0.00006012482,0.060124819999999995,73000,0.0002458283,0.2458283,49000,0.00016500804,0.16500804,7000,0.00007297565,0.07297565,,,,8000,0.00004745194,0.047451940000000005,0.16738114,0.45857846116764006,1.7987617,0.16462846,0.09322185
,Africa,1969,356070660,89000,0.00055188406,0.55188406,0.4593762,,193741,0.0012013773,12.013773,,,1000,0.000003623865,0.003623865,9000,0.000035131437,0.035131437,78000,0.00025597317,0.25597317,52000,0.00017064878,0.17064878,6000,0.00006109105,0.06109105000000001,,,,7000,0.00004042443,0.040424430000000004,0.17056724,0.46730750217624006,1.830571,0.16840275,0.09613062
,Africa,1970,365450430,97211,0.0005867876,0.5867876,0.43664825,,222630,0.001343845,13.43845,,,4000,0.000014126043,0.014126043,18000,0.000068421745,0.068421745,80000,0.0002557987,0.2557987,53000,0.00016946664,0.16946664,6000,0.000059653405,0.059653405,,,,7000,0.000039351497,0.039351497000000006,0.1667569,0.4568682146094001,1.7600675,0.16258386,0.094072804
,Africa,1971,375086300,97545,0.000573258,0.573258,0.4121022,,236701,0.0013910579,13.910579,,,0,0,0,11000,0.000040725077,0.040725077,84000,0.00026169367,0.26169367,60000,0.00018692404,0.18692403999999999,6000,0.000058241167,0.058241166999999996,,,,7000,0.000038309972,0.038309972,0.18602246,0.50965057024596,1.979196,0.1822841,0.105127215
,Africa,1972,384930780,103891,0.00049242435,0.49242435,0.43118498,,240943,0.0011420258,11.420257999999999,,,4000,0.00001341189,0.013411890000000001,8000,0.00002885025,0.02885025,95000,0.0002883375,0.2883375,69000,0.00020942408,0.20942407999999998,7000,0.000066319095,0.066319095,,,,7000,0.000037298756,0.037298756,0.20939206,0.57367687097556,2.249699,0.20714499,0.11887584
,Africa,1973,395212400,106221,0.00048045808,0.48045808,0.43689513,,243127,0.0010997104,10.997104,,,14000,0.00004571481,0.04571481,10000,0.000035117802,0.035117802000000004,107000,0.0003162711,0.3162711,68000,0.00020099472,0.20099472,6000,0.00005544472,0.05544472,,,,7000,0.000036302772,0.036302772,0.20787819,0.56952928197594,2.2018871,0.20482226,0.116887726
,Africa,1974,406069220,135960,0.0005989932,0.5989932,0.5421398,,250784,0.0011048685,11.048684999999999,,,12000,0.00003814303,0.03814303,6000,0.000020512369,0.020512369,131000,0.00037697065,0.37697065,71000,0.00020431234,0.20431234,7000,0.00006304044,0.06304044,,,,9000,0.00004540991,0.04540991,0.20813543,0.57023404909218,2.2067049,0.2055062,0.11641676
,Africa,1975,417557000,151128,0.000627551,0.627551,0.5552094,,272200,0.001130296,11.30296,,,10000,0.000030909814,0.030909813999999997,25000,0.00008317991,0.08317991,133000,0.00037231384,0.37231384,75000,0.00020995141,0.20995141,8000,0.000070038455,0.070038455,,,,10000,0.000049071194,0.049071194000000005,0.21592847,0.59158484339922,2.2608776,0.21288803,0.119772226
,Africa,1976,429573250,177483,0.0006972634,0.6972634,0.59852093,,296536,0.0011649774,11.649773999999999,,,18000,0.000054071512,0.054071511999999995,3000,0.000009712722,0.009712722,158000,0.00042999708,0.42999708,85000,0.00023132753,0.23132753,9000,0.00007644215,0.07644215,,,,10000,0.000047710997,0.047710997000000005,0.23308778,0.63859665114828,2.4630587,0.2308806,0.1330121
,Africa,1977,441701760,214047,0.00081869756,0.81869756,0.6620918,,323289,0.0012365318,12.365318,,,71000,0.00020731367,0.20731366999999998,21000,0.00006617844,0.06617844,208000,0.0005507001,0.5507001,89000,0.00023563611,0.23563611,10000,0.000082463484,0.082463484,,,,12000,0.000055704746,0.055704746,0.23499903,0.64383295246578,2.478106,0.23379844,0.13212293
,Africa,1978,454463040,308253,0.0011141986,1.1141986000000001,0.8499217,,362684,0.0013109427,13.109427,,,67000,0.00019016712,0.19016712,37000,0.000113484326,0.113484326,268000,0.00069045124,0.69045124,95000,0.0002447495,0.2447495,11000,0.00008812465,0.08812465,,,,12000,0.000054212283,0.054212283,0.24254622,0.66451018513572,2.5363002,0.23953082,0.13692145
,Africa,1979,467976260,327037,0.0011503475,1.1503475,0.82410914,,396837,0.0013958679,13.958679,,,84000,0.00023170609,0.23170609,8000,0.0000238835,0.0238835,326000,0.00081724563,0.81724563,93000,0.00023314061,0.23314061,11000,0.000085584026,0.08558402600000001,,,,12000,0.0000527791,0.052779099999999995,0.23297878,0.63829802101428,2.4414456,0.23123688,0.13294849
,Africa,1980,481543140,339734,0.0011344707,1.1344707,0.80287087,,423149,0.0014130176,14.130175999999999,,,26000,0.00006964716,0.06964716,2000,0.0000058112428,0.0058112428,340000,0.00082944287,0.8294428699999999,92000,0.00022443748,0.22443748,12000,0.000090638314,0.090638314,,,,12000,0.000051395848,0.051395848,0.22365347,0.61274922674922,2.3545048,0.22194813,0.12449395
,Africa,1981,495655680,358617,0.0010917867,1.0917866999999999,0.7944093,,451426,0.0013743378,13.743378,,,25000,0.000065035,0.06503500000000001,1000,0.000002822148,0.002822148,359000,0.00085084996,0.85084996,103000,0.00024411573,0.24411573,12000,0.000088010966,0.088010966,,,,13000,0.000054062326,0.054062325999999994,0.24493165,0.6710456097279001,2.5645366,0.24255788,0.13822176
,Africa,1982,510540600,419742,0.0012412178,1.2412178,0.79906565,,525291,0.0015533364,15.533363999999999,,,66000,0.00016682586,0.16682586000000002,0,0,0,418000,0.0009618337,0.9618337,110000,0.00025311412,0.25311412,12000,0.00008549098,0.08549098,,,,13000,0.000052431875,0.052431875,0.25222743,0.69103404788418,2.6631756,0.2495105,0.14277864
,Africa,1983,525335360,351083,0.0009719368,0.9719368,0.9229336,,380399,0.0010530951,10.530951,,,41000,0.00010073842,0.10073842,1000,0.0000026634282,0.0026634282,376000,0.0008411075,0.8411075,75000,0.0001677741,0.16777409999999998,8000,0.00005546332,0.05546332,,,,8000,0.000031374093,0.031374093000000006,0.16545527,0.45330210505602,1.7047606,0.16574888,0.09188994
,Africa,1984,540183100,354047,0.0009537,0.9537,0.9239753,,383178,0.0010321705,10.321705,,,25000,0.00005970563,0.05970563,0,0,0,378000,0.00082214404,0.82214404,79000,0.00017182375,0.17182375,8000,0.0000539664,0.0539664,,,,8000,0.000030521125,0.030521125000000003,0.17156075,0.47002944735450003,1.7613707,0.17122307,0.09560099
,Africa,1985,555653000,377706,0.000992283,0.992283,1.0185586,,370824,0.0009742031,9.742031,,,29000,0.000067287045,0.067287045,3000,0.000007550957,0.0075509570000000005,420000,0.00088762166,0.88762166,95000,0.00020077157,0.20077157,10000,0.00006551883,0.06551883,,,,10000,0.00003706788,0.037067880000000004,0.1983304,0.5433709534704,2.0757716,0.19709009,0.11226911
,Africa,1986,571646800,367285,0.0009379658,0.9379658,0.9401678,,390659,0.0009976579,9.976579,,,67000,0.00015105307,0.15105306999999998,1000,0.0000024458443,0.0024458443,446000,0.00091589073,0.9158907300000001,101000,0.00020741024,0.20741024000000002,11000,0.00006999869,0.06999869,,,,11000,0.00003961,0.03961,0.21046697,0.57662182985022,2.1818829,0.20773704,0.11726694
,Africa,1987,588080000,441655,0.0010957737,1.0957737,0.84519184,,522550,0.0012964791,12.964791,,,95000,0.00020819303,0.20819303,1000,0.000002375242,0.002375242,530000,0.0010575473,1.0575473,138000,0.00027536135,0.27536135,16000,0.000098846955,0.098846955,,,,16000,0.00005591475,0.05591475,0.27793983,0.76147897868658,2.9437962,0.2741185,0.15707278
,Africa,1988,604511550,542018,0.0013060914,1.3060914000000001,0.8113192,,668070,0.0016098368,16.098368,,,52000,0.0001108121,0.1108121,9000,0.000020751519,0.020751519000000003,599000,0.0011612445,1.1612445,163000,0.00031599807,0.31599807,19000,0.00011396333,0.11396333,,,,20000,0.000067794004,0.067794004,0.31626147,0.86646977215722,3.3562775,0.3116381,0.17634429
,Africa,1989,621167940,688177,0.0017080192,1.7080191999999998,0.70468855,,976569,0.0024237928,24.237928,,,68000,0.00014094148,0.14094148,9000,0.000020155796,0.020155796,756000,0.0014243516,1.4243515999999998,294000,0.0005539145,0.5539145,34000,0.0001981198,0.19811979999999998,,,,37000,0.00012175571,0.12175571,0.5554434,1.5217627245084002,5.953419,0.54298544,0.31159243
,Africa,1990,638157600,701066,0.0014928549,1.4928549,0.67781687,,1034300,0.0022024459,22.024458999999997,,,51000,0.00010291192,0.10291192,6000,0.000013061321,0.013061321,716000,0.0013123229,1.3123229,280000,0.0005131989,0.5131988999999999,26000,0.00014730568,0.14730568,,,,33000,0.00010564126,0.10564126,0.5164787,1.4150101228362,5.4287977,0.5093299,0.28895786
,Africa,1991,655040900,673606,0.0013243922,1.3243922000000001,0.8210583,,820412,0.0016130308,16.130308,,,24000,0.000047206522,0.047206522,5000,0.000010589858,0.010589858,672000,0.0011991841,1.1991841,190000,0.00033905503,0.33905503,19000,0.000104869505,0.104869505,,,,28000,0.0000872592,0.0872592,0.34335232,0.94069127826432,3.5941818,0.33953676,0.19183785
,Africa,1992,671931840,488461,0.00093462534,0.93462534,0.5813094,,840278,0.0016077933,16.077933,,,311000,0.0005965001,0.5965001,3000,0.0000061877868,0.0061877868,753000,0.0013088656,1.3088656,200000,0.00034764028,0.34764027999999997,20000,0.000107736145,0.107736145,,,,33000,0.00010009879,0.10009879,0.34812564,0.95376886717464,3.6143215,0.34672722,0.1952887
,Africa,1993,689140300,536809,0.0010045908,1.0045908,0.6565791,,817586,0.0015300376,15.300376,,,293000,0.0004979714,0.49797139999999995,46000,0.000092841634,0.092841634,777000,0.0013205591,1.3205591,186000,0.00031611838,0.31611838,21000,0.00011055042,0.11055042000000001,,,,33000,0.000098093464,0.098093464,0.31482723,0.8625403475389801,3.3345273,0.31105435,0.17565125
,Africa,1994,706488600,570814,0.0010426238,1.0426237999999999,0.64980894,,878434,0.0016045081,16.045081,,,242000,0.00040183353,0.40183353,31000,0.000061188715,0.061188715,735000,0.0012204448,1.2204448,178000,0.0002955635,0.2955635,22000,0.00011336991,0.11336991,,,,32000,0.00009313728,0.09313728,0.29737446,0.81472453979796,3.149008,0.29189107,0.16485465
,Africa,1995,724331970,661472,0.0011790489,1.1790489,0.7156572,,924287,0.0016475052,16.475051999999998,,,325000,0.00052737916,0.5273791600000001,6000,0.000011583233,0.011583233,998000,0.0016194596,1.6194595999999999,295000,0.00047869797,0.47869797000000003,33000,0.00016647085,0.16647084999999998,,,,44000,0.00012539704,0.12539704,0.47800317,1.30959771293142,5.1530714,0.46341202,0.26811174
,Africa,1996,742765060,708315,0.0012310403,1.2310402999999999,0.8812891,,803726,0.0013968631,13.968631,,,293000,0.00046348065,0.46348065,17000,0.000031990872,0.031990872000000004,1010000,0.0015976637,1.5976637,306000,0.00048404466,0.48404466,36000,0.00017769347,0.17769347,,,,47000,0.00013046575,0.13046575,0.4865274,1.3329517674924,5.254175,0.47230428,0.27341223
,Africa,1997,761224800,751901,0.0012745683,1.2745682999999999,0.8942551,,840813,0.0014252848,14.252848,,,385000,0.0005938236,0.5938236,33000,0.000060549566,0.060549566,1113000,0.0017166901,1.7166900999999999,344000,0.0005305853,0.5305852999999999,40000,0.00019332286,0.19332286,,,,53000,0.00014330499,0.14330499,0.53056026,1.45358973888876,5.7423797,0.513251,0.29362178
