year,population,production_kg,production_kgpercapita,landuse_ha,animalfeed_kg,animalfeed_kgpercapita
2011,198185300,7.34006E+11,3703.6355,9601316,10633000000,53.65181
2012,199977710,7.21077E+11,3605.7885,9705388,3650000000,18.252034
2013,201721780,7.6809E+11,3807.6723,10195166,2034000000,10.083195
2014,203459650,7.36109E+11,3617.958,10419678,6945000000,34.134533
2015,205188210,7.5029E+11,3656.5957,10111376,7559000000,36.839347
2016,206859580,7.68594E+11,3715.5356,10223894,7009000000,33.882886
2017,208504960,7.58646E+11,3638.5043,10189208,6835000000,32.780994
2018,210166600,7.47557E+11,3556.9725,10024104,7526000000,35.80969
2019,211782880,7.5347E+11,3557.7497,10092430,7591000000,35.843313
2020,213196300,7.57117E+11,3551.2664,10014198,6821000000,31.99399
